title,description,category,price,brand,specTableContent,text_for_embedding
" "" Cámara NIKON D-5300 Profesional + Estuche Memoria 8 GB Negra ""@es ""Camara Alkomprar.com""@es","""
                            
CAMARA REFLEX NIKOND-5300
RESOLUCION:24.2 MP
LENTE:18-55mm VR II
PANTALLA LCD:3.2 Pulgadas ANGULO VARIABLE
VIDEO:VIDEO FULL HD 1080p a 60/30/24p
ISO:100-12.800 A 25.600
OTROS:5 CPS Disparo Continuo. WI-FI. GPS
ACCESORIOS:ESTUCHE + MEMORIA 8 GB
                        ""@es ",Camera_and_Photo,,, Marca NIKON Megapixeles 24.2 MP TAMAÑO DE PANTALLA 3 Pulgadas COLOR Negro COLOR Negra ACCESORIOS CAMARA REFLEX NIKOND-5300 RESOLUCION:24.2 MP LENTE:18-55mm VR II PANTALLA LCD:3.2 Pulgadas ANGULO VARIABLE VIDEO:VIDEO FULL HD 1080p a 60/30/24p ISO:100-12.800 A 25.600 OTROS:5 CPS Disparo Continuo. WI-FI. GPS ACCESORIOS:ESTUCHE + MEMORIA 8 GB,"Title:  "" Cámara NIKON D-5300 Profesional + Estuche Memoria 8 GB Negra ""@es ""Camara Alkomprar.com""@es, Category: Camera_and_Photo, Price: None, Brand: None, Specifications:  Marca NIKON Megapixeles 24.2 MP TAMAÑO DE PANTALLA 3 Pulgadas COLOR Negro COLOR Negra ACCESORIOS CAMARA REFLEX NIKOND-5300 RESOLUCION:24.2 MP LENTE:18-55mm VR II PANTALLA LCD:3.2 Pulgadas ANGULO VARIABLE VIDEO:VIDEO FULL HD 1080p a 60/30/24p ISO:100-12.800 A 25.600 OTROS:5 CPS Disparo Continuo. WI-FI. GPS ACCESORIOS:ESTUCHE + MEMORIA 8 GB"
" ""nikon d5000""@en-US ""Nikon D5000 Digital SLR Camera - ecoustics.com""@en-US",,Camera_and_Photo,,,,"Title:  ""nikon d5000""@en-US ""Nikon D5000 Digital SLR Camera - ecoustics.com""@en-US, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Nikon AF-S Nikkor 55-300mm f/4.5-5.6G ED VR DX Lens""@en ""Camera Lenses :: Nikon Lens - Onestop Digital""@en","""<p>The Nikon AF-S NIKKOR 55-300mm f/4.5-5.6G ED VR Zoom Lens is a compact 5.5x zoom lens for DX-format D-SLR cameras. Its equivalent focal length in FX-format is 82.5-450mm. This lens is an excellent choice for travel, landscapes, portraits, and distant subjects. The lens focuses to 4.6' at every focal length - this versatility ensures stunning close-up shots of subjects near and far.</p>
<p>The VR II image stabilization allows you to handhold the your camera at up to 4 shutter speeds slower than would otherwise be possible, assuring dramatically sharper still images and stable video capture. Other features include the silent wave motor for quiet accurate autofocusing, and a rounded 9-blade diaphragm that offers stunning out-of-focus highlights (bokeh). The lens elements have been treated with Nikon's Super Integrated Coating - an optical lens coating process that maximizes light transmission while enhancing clarity and contrast. All of these world-class features add up to the AF-S 55-300 being an ideal lens for traveling or shooting close to home.</p>""@en ",Camera_and_Photo,,,,"Title:  ""Nikon AF-S Nikkor 55-300mm f/4.5-5.6G ED VR DX Lens""@en ""Camera Lenses :: Nikon Lens - Onestop Digital""@en, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Nikon 10-24mm f/3.5-4.5G ED AF-S DX Zoom-Nikkor Lens""@en Lens - Fumfie.com""@en",,Camera_and_Photo,,,,"Title:  ""Nikon 10-24mm f/3.5-4.5G ED AF-S DX Zoom-Nikkor Lens""@en Lens - Fumfie.com""@en, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Transcend NAND SDHC Flash Memory Card (4GB, Class 2 Speed Rating)""@en, "" Transcend Rating) ""@en Overview - CNET""@en (4GB",,Camera_and_Photo,,"""Transcend""@en",,"Title:  ""Transcend NAND SDHC Flash Memory Card (4GB, Class 2 Speed Rating)""@en, "" Transcend Rating) ""@en Overview - CNET""@en (4GB, Category: Camera_and_Photo, Price: None, Brand: ""Transcend""@en, Specifications: None"
" ""Transcend TS4GSDHC BUB 4GB SDHC Secure Digital Class 2 Retail"""," ""TS4GSDHC BUB 4GB SDHC Secure Digital Class 2 Retail""",Camera_and_Photo,"""5.99"", ""USD""","""Transcend""",,"Title:  ""Transcend TS4GSDHC BUB 4GB SDHC Secure Digital Class 2 Retail"", Category: Camera_and_Photo, Price: ""5.99"", ""USD"", Brand: ""Transcend"", Specifications: None"
" ""Wireless 2.4GHz (802.11b) Internet Camera""@fi ""DCS-1000w Wireless Camera | D-Link Finland""@fi","""
              
				
					
					
						
							Download the datasheet.
						
					
				
              
				 
	                        List Retailers
	                        
				      
              
            ""@fi ",Camera_and_Photo,,,,"Title:  ""Wireless 2.4GHz (802.11b) Internet Camera""@fi ""DCS-1000w Wireless Camera | D-Link Finland""@fi, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Wireless N Day & Night Pan/Tilt Cloud Camera""@ro ""DCS-5020L Wireless Camera | D-Link Romania""@ro","""
              The DCS-5020L Wireless N Day & Night Pan/Tilt Cloud Camera is a day/night network camera that easily connects to your existing home network for remote viewing on a range of mobile devices. It features pan, tilt and digital zoom function to allow you to see a wider area with a single camera, built-in Wi-Fi extender to effortlessly expand your wireless coverage, night vision up to 5 metres, sound and motion detection for the ultimate in peace of mind, and H.264 video compression for a high-quality image.
				
					
					
						
							Download the datasheet.
						
					
				
              
				 
	                        List Retailers
	                        
				      
              
            ""@ro ",Camera_and_Photo,,, Version Description Date 1.14.09 Firmware 20.12.2016 Download 1.01.02 Release notes included 15.08.2016 Download 1.13.05 Firmware 27.01.2016 Download 1.12.03 Firmware 21.10.2015 Download 1.11.08 Firmware 19.10.2015 Download Version Description Date DEU_Quick_Guide_on_mydlink_Cameras_Rev Quick Guide on mydlink Cameras 03.12.2014 Download CE declaration CE declaration 17.10.2014 Download DEU_IP_Surveillance_Cheat_Sheet IP Surveillance Cheat Sheet 25.04.2014 Download How to enable Java on Mac OS X for mydlink How to enable Java on Mac OS X for mydlink 29.07.2013 Download,"Title:  ""Wireless N Day & Night Pan/Tilt Cloud Camera""@ro ""DCS-5020L Wireless Camera | D-Link Romania""@ro, Category: Camera_and_Photo, Price: None, Brand: None, Specifications:  Version Description Date 1.14.09 Firmware 20.12.2016 Download 1.01.02 Release notes included 15.08.2016 Download 1.13.05 Firmware 27.01.2016 Download 1.12.03 Firmware 21.10.2015 Download 1.11.08 Firmware 19.10.2015 Download Version Description Date DEU_Quick_Guide_on_mydlink_Cameras_Rev Quick Guide on mydlink Cameras 03.12.2014 Download CE declaration CE declaration 17.10.2014 Download DEU_IP_Surveillance_Cheat_Sheet IP Surveillance Cheat Sheet 25.04.2014 Download How to enable Java on Mac OS X for mydlink How to enable Java on Mac OS X for mydlink 29.07.2013 Download"
" ""Canon EF 2x III Extender""@en ""Accessories :: Canon Extender - Onestop Digital""@en","""<p>The Canon Extender EF 2X III is designed for select Canon L-series telephoto lenses. The extender is perfect for photojournalists, nature and sports photographers who need to get close to distant and challenging subjects. The Extender EF 2x III increases the focal length of a lens by a factor of 2x while still delivering superb image quality. To ensure the best possible image quality in all shooting conditions, it also combines enhanced environmental protection, redesigned optics and improved data communication between lens and camera.</p>
<p>The extender allows professional photographers to shoot distant subjects without having to carry a number of heavy lenses. The Extender EF 2x III features five groups of nine elements, ensuring improved optical performance. All optical elements use Canon's Super Spectra coating, reducing ghosting and flare to minimize post-processing requirements. A new Fluorine Coating on the front and rear elements makes marks, such as spots left by water or fingerprints, much easier to clean than standard coatings.</p>""@en ",Camera_and_Photo,,,,"Title:  ""Canon EF 2x III Extender""@en ""Accessories :: Canon Extender - Onestop Digital""@en, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Extender EF 2x III""@en ""Canon Extender III | Canon Online Store""@en","""Extender EF 2X III""@en ",Camera_and_Photo,,"""Canon""@en",,"Title:  ""Extender EF 2x III""@en ""Canon Extender III | Canon Online Store""@en, Category: Camera_and_Photo, Price: None, Brand: ""Canon""@en, Specifications: None"
