title,description,category,price,brand,specTableContent,text_for_embedding
" "" Cámara NIKON D-5300 Profesional + Estuche Memoria 8 GB Negra ""@es ""Camara Alkomprar.com""@es","""
                            
CAMARA REFLEX NIKOND-5300
RESOLUCION:24.2 MP
LENTE:18-55mm VR II
PANTALLA LCD:3.2 Pulgadas ANGULO VARIABLE
VIDEO:VIDEO FULL HD 1080p a 60/30/24p
ISO:100-12.800 A 25.600
OTROS:5 CPS Disparo Continuo. WI-FI. GPS
ACCESORIOS:ESTUCHE + MEMORIA 8 GB
                        ""@es ",Camera_and_Photo,,, Marca NIKON Megapixeles 24.2 MP TAMAÑO DE PANTALLA 3 Pulgadas COLOR Negro COLOR Negra ACCESORIOS CAMARA REFLEX NIKOND-5300 RESOLUCION:24.2 MP LENTE:18-55mm VR II PANTALLA LCD:3.2 Pulgadas ANGULO VARIABLE VIDEO:VIDEO FULL HD 1080p a 60/30/24p ISO:100-12.800 A 25.600 OTROS:5 CPS Disparo Continuo. WI-FI. GPS ACCESORIOS:ESTUCHE + MEMORIA 8 GB,"Title:  "" Cámara NIKON D-5300 Profesional + Estuche Memoria 8 GB Negra ""@es ""Camara Alkomprar.com""@es, Category: Camera_and_Photo, Price: None, Brand: None, Specifications:  Marca NIKON Megapixeles 24.2 MP TAMAÑO DE PANTALLA 3 Pulgadas COLOR Negro COLOR Negra ACCESORIOS CAMARA REFLEX NIKOND-5300 RESOLUCION:24.2 MP LENTE:18-55mm VR II PANTALLA LCD:3.2 Pulgadas ANGULO VARIABLE VIDEO:VIDEO FULL HD 1080p a 60/30/24p ISO:100-12.800 A 25.600 OTROS:5 CPS Disparo Continuo. WI-FI. GPS ACCESORIOS:ESTUCHE + MEMORIA 8 GB"
" ""nikon d5000""@en-US ""Nikon D5000 Digital SLR Camera - ecoustics.com""@en-US",,Camera_and_Photo,,,,"Title:  ""nikon d5000""@en-US ""Nikon D5000 Digital SLR Camera - ecoustics.com""@en-US, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Nikon AF-S Nikkor 55-300mm f/4.5-5.6G ED VR DX Lens""@en ""Camera Lenses :: Nikon Lens - Onestop Digital""@en","""<p>The Nikon AF-S NIKKOR 55-300mm f/4.5-5.6G ED VR Zoom Lens is a compact 5.5x zoom lens for DX-format D-SLR cameras. Its equivalent focal length in FX-format is 82.5-450mm. This lens is an excellent choice for travel, landscapes, portraits, and distant subjects. The lens focuses to 4.6' at every focal length - this versatility ensures stunning close-up shots of subjects near and far.</p>
<p>The VR II image stabilization allows you to handhold the your camera at up to 4 shutter speeds slower than would otherwise be possible, assuring dramatically sharper still images and stable video capture. Other features include the silent wave motor for quiet accurate autofocusing, and a rounded 9-blade diaphragm that offers stunning out-of-focus highlights (bokeh). The lens elements have been treated with Nikon's Super Integrated Coating - an optical lens coating process that maximizes light transmission while enhancing clarity and contrast. All of these world-class features add up to the AF-S 55-300 being an ideal lens for traveling or shooting close to home.</p>""@en ",Camera_and_Photo,,,,"Title:  ""Nikon AF-S Nikkor 55-300mm f/4.5-5.6G ED VR DX Lens""@en ""Camera Lenses :: Nikon Lens - Onestop Digital""@en, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Nikon 10-24mm f/3.5-4.5G ED AF-S DX Zoom-Nikkor Lens""@en Lens - Fumfie.com""@en",,Camera_and_Photo,,,,"Title:  ""Nikon 10-24mm f/3.5-4.5G ED AF-S DX Zoom-Nikkor Lens""@en Lens - Fumfie.com""@en, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Transcend NAND SDHC Flash Memory Card (4GB, Class 2 Speed Rating)""@en, "" Transcend Rating) ""@en Overview - CNET""@en (4GB",,Camera_and_Photo,,"""Transcend""@en",,"Title:  ""Transcend NAND SDHC Flash Memory Card (4GB, Class 2 Speed Rating)""@en, "" Transcend Rating) ""@en Overview - CNET""@en (4GB, Category: Camera_and_Photo, Price: None, Brand: ""Transcend""@en, Specifications: None"
" ""Transcend TS4GSDHC BUB 4GB SDHC Secure Digital Class 2 Retail"""," ""TS4GSDHC BUB 4GB SDHC Secure Digital Class 2 Retail""",Camera_and_Photo,"""5.99"", ""USD""","""Transcend""",,"Title:  ""Transcend TS4GSDHC BUB 4GB SDHC Secure Digital Class 2 Retail"", Category: Camera_and_Photo, Price: ""5.99"", ""USD"", Brand: ""Transcend"", Specifications: None"
" ""Wireless 2.4GHz (802.11b) Internet Camera""@fi ""DCS-1000w Wireless Camera | D-Link Finland""@fi","""
              
				
					
					
						
							Download the datasheet.
						
					
				
              
				 
	                        List Retailers
	                        
				      
              
            ""@fi ",Camera_and_Photo,,,,"Title:  ""Wireless 2.4GHz (802.11b) Internet Camera""@fi ""DCS-1000w Wireless Camera | D-Link Finland""@fi, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Wireless N Day & Night Pan/Tilt Cloud Camera""@ro ""DCS-5020L Wireless Camera | D-Link Romania""@ro","""
              The DCS-5020L Wireless N Day & Night Pan/Tilt Cloud Camera is a day/night network camera that easily connects to your existing home network for remote viewing on a range of mobile devices. It features pan, tilt and digital zoom function to allow you to see a wider area with a single camera, built-in Wi-Fi extender to effortlessly expand your wireless coverage, night vision up to 5 metres, sound and motion detection for the ultimate in peace of mind, and H.264 video compression for a high-quality image.
				
					
					
						
							Download the datasheet.
						
					
				
              
				 
	                        List Retailers
	                        
				      
              
            ""@ro ",Camera_and_Photo,,, Version Description Date 1.14.09 Firmware 20.12.2016 Download 1.01.02 Release notes included 15.08.2016 Download 1.13.05 Firmware 27.01.2016 Download 1.12.03 Firmware 21.10.2015 Download 1.11.08 Firmware 19.10.2015 Download Version Description Date DEU_Quick_Guide_on_mydlink_Cameras_Rev Quick Guide on mydlink Cameras 03.12.2014 Download CE declaration CE declaration 17.10.2014 Download DEU_IP_Surveillance_Cheat_Sheet IP Surveillance Cheat Sheet 25.04.2014 Download How to enable Java on Mac OS X for mydlink How to enable Java on Mac OS X for mydlink 29.07.2013 Download,"Title:  ""Wireless N Day & Night Pan/Tilt Cloud Camera""@ro ""DCS-5020L Wireless Camera | D-Link Romania""@ro, Category: Camera_and_Photo, Price: None, Brand: None, Specifications:  Version Description Date 1.14.09 Firmware 20.12.2016 Download 1.01.02 Release notes included 15.08.2016 Download 1.13.05 Firmware 27.01.2016 Download 1.12.03 Firmware 21.10.2015 Download 1.11.08 Firmware 19.10.2015 Download Version Description Date DEU_Quick_Guide_on_mydlink_Cameras_Rev Quick Guide on mydlink Cameras 03.12.2014 Download CE declaration CE declaration 17.10.2014 Download DEU_IP_Surveillance_Cheat_Sheet IP Surveillance Cheat Sheet 25.04.2014 Download How to enable Java on Mac OS X for mydlink How to enable Java on Mac OS X for mydlink 29.07.2013 Download"
" ""Canon EF 2x III Extender""@en ""Accessories :: Canon Extender - Onestop Digital""@en","""<p>The Canon Extender EF 2X III is designed for select Canon L-series telephoto lenses. The extender is perfect for photojournalists, nature and sports photographers who need to get close to distant and challenging subjects. The Extender EF 2x III increases the focal length of a lens by a factor of 2x while still delivering superb image quality. To ensure the best possible image quality in all shooting conditions, it also combines enhanced environmental protection, redesigned optics and improved data communication between lens and camera.</p>
<p>The extender allows professional photographers to shoot distant subjects without having to carry a number of heavy lenses. The Extender EF 2x III features five groups of nine elements, ensuring improved optical performance. All optical elements use Canon's Super Spectra coating, reducing ghosting and flare to minimize post-processing requirements. A new Fluorine Coating on the front and rear elements makes marks, such as spots left by water or fingerprints, much easier to clean than standard coatings.</p>""@en ",Camera_and_Photo,,,,"Title:  ""Canon EF 2x III Extender""@en ""Accessories :: Canon Extender - Onestop Digital""@en, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Extender EF 2x III""@en ""Canon Extender III | Canon Online Store""@en","""Extender EF 2X III""@en ",Camera_and_Photo,,"""Canon""@en",,"Title:  ""Extender EF 2x III""@en ""Canon Extender III | Canon Online Store""@en, Category: Camera_and_Photo, Price: None, Brand: ""Canon""@en, Specifications: None"
" ""Veho VCC-003 Muvi Pro Micro (Black)""@en, "" Veho (Black) ""@en Prices - CNET""@en",,Camera_and_Photo,,"""Veho""@en",,"Title:  ""Veho VCC-003 Muvi Pro Micro (Black)""@en, "" Veho (Black) ""@en Prices - CNET""@en, Category: Camera_and_Photo, Price: None, Brand: ""Veho""@en, Specifications: None"
" ""Chromo 216 LED CI-216 Dimmable Ultra High Power Panel / Camcorder Video Digital SLR Camera Light for Canon, Nikon, Pentax, Panasonic,SONY, Samsung and Olympus Cameras""@en-US ""On-Camera Lights | Come As You Arts""@en-US","""This Chromo IncÂ® super lightweight 216-LED 216PCS video light is perfect for Videotaping and Photography. Either for light setups or supplement lighting this Chromo IncÂ® light can be adjusted to offer professional effects. Chromo IncÂ® 216-LED 216PCS Light includes - 1 x Chromo IncÂ® 216 Adjustable High Power Light 1 x Adjustable Hot Shoe Connector 1 x Battery Adapter 3 x Light Filters Chromo IncÂ® is a registered U.S. Trademark under Serial Number 85524492""@en-US ",Camera_and_Photo,,"""Chromo Inc""@en-US",,"Title:  ""Chromo 216 LED CI-216 Dimmable Ultra High Power Panel / Camcorder Video Digital SLR Camera Light for Canon, Nikon, Pentax, Panasonic,SONY, Samsung and Olympus Cameras""@en-US ""On-Camera Lights | Come As You Arts""@en-US, Category: Camera_and_Photo, Price: None, Brand: ""Chromo Inc""@en-US, Specifications: None"
" ""Canon Right Angle Finder C (Includes ED-C and ED-D Adapters for All SLR Camera""@en "" Digital Camera Viewfinder Attachment Accessories | Unique Photo ""@en","""- Provides a full screen image  - Shows exposure data  - Built-in dioptric adjustment  - Compatible with all Canon EOS cameras""@en ",Camera_and_Photo,,,,"Title:  ""Canon Right Angle Finder C (Includes ED-C and ED-D Adapters for All SLR Camera""@en "" Digital Camera Viewfinder Attachment Accessories | Unique Photo ""@en, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Canon LC-E6 Battery Charger for Canon EOS 5D Mark II, 7D & 60D Digital SLR""@en-US ""Accessories - Page 19 | EISF""@en-US","""The Canon LC-E6 battery charger is designed for use with the LP-E6 battery pack, which powers the Canon EOS 5D Mark II, 5D Mark III, 7D and 60D digital SLR cameras. This unit can be used to charge a battery for these cameras from a standard electrical outlet. It operates on 100-240VAC power. Its 2-prong US plug goes directly into a wall outlet, so no power cord is required.""@en-US ",Camera_and_Photo,,"""Canon""@en-US",,"Title:  ""Canon LC-E6 Battery Charger for Canon EOS 5D Mark II, 7D & 60D Digital SLR""@en-US ""Accessories - Page 19 | EISF""@en-US, Category: Camera_and_Photo, Price: None, Brand: ""Canon""@en-US, Specifications: None"
" ""WIFI-900XTRP Wireless Video Surveillance Transmitter, 900Mhz"" ""Wireless Transmitter""","""
Wireless Video Surveillance Transmitter
Transmitter & Receiver Antenna BundleWireless Video Surveillance Transmitter Specification
"" ",Camera_and_Photo,,"""CCTV Camera Pros""",,"Title:  ""WIFI-900XTRP Wireless Video Surveillance Transmitter, 900Mhz"" ""Wireless Transmitter"", Category: Camera_and_Photo, Price: None, Brand: ""CCTV Camera Pros"", Specifications: None"
" ""2-Megapixel Panoramic Wireless Cloud Camera""@fi ""DCS-6010L 2-Megapixel Camera | D-Link Finland""@fi","""
              The DCS-6010L 2-Megapixel Panoramic Wireless Cloud Camera is a mydlink™-enabled IP Surveillance camera built with a fisheye lens and a 2 megapixel sensor, making it ideal for monitoring large areas with a single camera.
				
					
					
						
							Download the datasheet.
						
					
				
              
				 
	                        List Retailers
	                        
				      
              
            ""@fi ",Camera_and_Photo,,, Version Description Date 1.15.03 Release notes included 15.11.2016 Download 1.14.00 Release notes included 16.10.2015 Download Firmware Release notes included 1.13.00 Firmware Release notes included 6.10.2015 Download Firmware Release notes included 1.12.02 Firmware Release notes included 15.5.2015 Download Version Description Date DNR_2020_04P_Cam_Support_list DNR-2020-04P Camera Support List 22.9.2016 Download Quick_Guide_Cameras_DEU Quick Guide on mydlink Cameras 11.7.2014 Download DEU_IP_Surveillance_Cheat_Sheet - 6.6.2014 Download How_to_enable_Java_on_Mac_OS_X_for_mydlink How to enable Java on Mac OS X for mydlink 12.8.2013 Download Declaration of conformity Declaration of conformity 14.8.2012 Download,"Title:  ""2-Megapixel Panoramic Wireless Cloud Camera""@fi ""DCS-6010L 2-Megapixel Camera | D-Link Finland""@fi, Category: Camera_and_Photo, Price: None, Brand: None, Specifications:  Version Description Date 1.15.03 Release notes included 15.11.2016 Download 1.14.00 Release notes included 16.10.2015 Download Firmware Release notes included 1.13.00 Firmware Release notes included 6.10.2015 Download Firmware Release notes included 1.12.02 Firmware Release notes included 15.5.2015 Download Version Description Date DNR_2020_04P_Cam_Support_list DNR-2020-04P Camera Support List 22.9.2016 Download Quick_Guide_Cameras_DEU Quick Guide on mydlink Cameras 11.7.2014 Download DEU_IP_Surveillance_Cheat_Sheet - 6.6.2014 Download How_to_enable_Java_on_Mac_OS_X_for_mydlink How to enable Java on Mac OS X for mydlink 12.8.2013 Download Declaration of conformity Declaration of conformity 14.8.2012 Download"
" ""GoPro HERO3+ Black Edition Adventure Camcorder""@en Camcorder - CHDHX-302 Abt""@en",,Camera_and_Photo,,"""GoPro""@en",,"Title:  ""GoPro HERO3+ Black Edition Adventure Camcorder""@en Camcorder - CHDHX-302 Abt""@en, Category: Camera_and_Photo, Price: None, Brand: ""GoPro""@en, Specifications: None"
" ""Kamera GoPro Hero3 Silver""@id Silver | Variasi MX""@id","""Kamera GoPro Hero3 Silver""@id ",Camera_and_Photo,,,,"Title:  ""Kamera GoPro Hero3 Silver""@id Silver | Variasi MX""@id, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""D-Link DCS-2210L Full HD PoE Day/Night Network Camera - network surveillanc"" "" D-Link surveillanc Physical Security & IP Cameras CDWG.com","""The D-Link DCS-2210L Full HD PoE Day/Night Network Camera is a versatile camera perfect for monitoring low-light environments in your home or small office. It combines a high-resolution 2-megapixel sensor with a built-in IR LED to help you keep watch over areas in complete darkness."" ",Camera_and_Photo,,,,"Title:  ""D-Link DCS-2210L Full HD PoE Day/Night Network Camera - network surveillanc"" "" D-Link surveillanc Physical Security & IP Cameras CDWG.com, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""D-Link DCS-2332L""","""D-Link DCS-2332L, IP, Extérieur, Boîte, Noir, Blanc, Résistant à l’eau, 1280 x 800 pixels"" ",Camera_and_Photo,,,,"Title:  ""D-Link DCS-2332L"", Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Canon IFC 400 PCU Data Cable, 5'""@en-US 5' ""Superwarehouse - Canon Cable 9370A001""@en-US",,Camera_and_Photo,,"""Canon""@en-US",,"Title:  ""Canon IFC 400 PCU Data Cable, 5'""@en-US 5' ""Superwarehouse - Canon Cable 9370A001""@en-US, Category: Camera_and_Photo, Price: None, Brand: ""Canon""@en-US, Specifications: None"
" ""Canon Interface Cable IFC-400PCU""@en IFC-400PCU (9370A001)""@en",,Camera_and_Photo,,,,"Title:  ""Canon Interface Cable IFC-400PCU""@en IFC-400PCU (9370A001)""@en, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Fujifilm Instax Mini 8 Deal- Black Camera, 3 Packs of Film and Bag""@en "" Cameras | Unique Photo ""@en","""
	- Cute and compact body design available in five different colors!


	- Simple operation for instant pictures


	- You can take a high-key photo easily


	- Includes 3 Packs of instax mini twin pack film (60 exposures total)

""@en ",Camera_and_Photo,,,,"Title:  ""Fujifilm Instax Mini 8 Deal- Black Camera, 3 Packs of Film and Bag""@en "" Cameras | Unique Photo ""@en, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Veho VCC-005-MUVI-HDPRO Mini HD Body Camera/Action Camcorder""@en "" Consumer Video Cameras | Unique Photo ""@en","""
	Sensa Wireless Remote
	Universal In-Car Mounting Kit
	5MP 1080p HD video
	Start/Stop/Snapshot Remote control
	170 degree wide angle lens
	1400mAh Internal rechargeable lithium battery
	Continuous 3 hours recording time
	Includes 8Gb Micro SD card
	1.5 inch viewfinder/review LCD, Touch panel control
	Self-timer, digital zoom, noise activation
	Works with all standard MUVI Mounting options
	Optional date and time stamp

""@en ",Camera_and_Photo,,,,"Title:  ""Veho VCC-005-MUVI-HDPRO Mini HD Body Camera/Action Camcorder""@en "" Consumer Video Cameras | Unique Photo ""@en, Category: Camera_and_Photo, Price: None, Brand: None, Specifications: None"
" ""Transcend 4GB Class 10 SDHC Card (TS4GSDHC10)"" ""Camera & Photo Accessories - Page 451 | All Tech Toys""","""As high-tech gadgets become increasingly advanced with ever-improving video and audio quality, we find ourselves needing extra speed and memory capacity to store our high-resolution digital masterpieces."" ",Camera_and_Photo,,"""Transcend""",,"Title:  ""Transcend 4GB Class 10 SDHC Card (TS4GSDHC10)"" ""Camera & Photo Accessories - Page 451 | All Tech Toys"", Category: Camera_and_Photo, Price: None, Brand: ""Transcend"", Specifications: None"
" ""Fujifilm 4 GB SDHC Class 10 Flash Memory Card"" ""Camera & Photo Accessories - Page 3251 | All Tech Toys""","""FUJIFILM Ultra Performance SDHC class 10 cards are the ideal Choice for D-SLR digital cameras, shooting HD movies, and Fast-action photography. Available in a fill range of capacities - SDHC 4GB 32GB"" ",Camera_and_Photo,,"""Fujifilm""",,"Title:  ""Fujifilm 4 GB SDHC Class 10 Flash Memory Card"" ""Camera & Photo Accessories - Page 3251 | All Tech Toys"", Category: Camera_and_Photo, Price: None, Brand: ""Fujifilm"", Specifications: None"
" ""SanDisk Ultra microSDXC 200GB 90MB/s, UHS-I/Class 10"" 90MB/s","""Shoot video, capture photos, download apps, and more with the 200GB Ultra UHS-I microSDXC Memory Card from SanDisk. This memory card pushes the limits with regards to storage capacity on a microSD memory card with 200GB of space to store up to 20 hours of Full HD video. Additionally, you can transfer your data quickly to and from the card with a maximum data read speed of up to 90 MB/s. The microSDXC memory card comes water, temperature, shock, X-ray, and magnet proof to ensure your data remains safe in some of the harshest conditions possible. You can also transfer files to and from the card via the included SD adapter.
"" ",Camera_and_Photo,,"""SanDisk"""," Official Release Date  May 02, 2015 PAX-Code PAX0007010188 Catalog No.  SDSDQUAN-200G-G4A Item Code  0619659128944 Product Measures 1.5cm x 1.1cm x 0.1cm Box contents SanDisk Ultra microSDXC UHS-I Card 200GB SD adapter","Title:  ""SanDisk Ultra microSDXC 200GB 90MB/s, UHS-I/Class 10"" 90MB/s, Category: Camera_and_Photo, Price: None, Brand: ""SanDisk"", Specifications:  Official Release Date  May 02, 2015 PAX-Code PAX0007010188 Catalog No.  SDSDQUAN-200G-G4A Item Code  0619659128944 Product Measures 1.5cm x 1.1cm x 0.1cm Box contents SanDisk Ultra microSDXC UHS-I Card 200GB SD adapter"
